Date,Value Date,Bank Account,Narration,Party Name,Mode,Reference No,Type,Debit,Credit,Balance,Auto Tag,Inter-Bank Excluded?,Source Email Date,Processed On
2026-06-15,2026-06-13,DBS 858200061542,NEFTIN HDFCH01061371505 SPA YOGA PVT LTD HDFC BANK HDFC0000240 AC ENDING 2819 REF BatchId:0032 SPA YOGA PVT LTD INR 117150,SPA YOGA PVT LTD,NEFT,HDFCH01061371505,RECEIPT,,117150.00,,Client Receipt,NO,2026-06-16,2026-06-16
2026-06-15,2026-06-13,DBS 858200061542,NEFT CO 10785 0811OP6175920886 PAYROLL TRANSFER,NEFT CO 10785 0811OP6175920886 PAYROLL TRANSFER,NEFT,CO,PAYMENT,965755.00,,,Payroll / Statutory,NO,2026-06-16,2026-06-16
2026-06-15,2026-06-15,DBS 858200061542,NEFTIN HSBCN16656604465 STARWOOD INDIA PRIVATE LIM HSBC BANK HSBC0110005 AC ENDING 001 REF BatchId:0003 STARWOOD INDIA PRIVATE LIMITED INR 251451,STARWOOD INDIA PRIVATE LIM,NEFT,HSBCN16656604465,RECEIPT,,251451.00,,Client Receipt,NO,2026-06-16,2026-06-16
2026-06-15,2026-06-15,DBS 858200061542,NEFTIN IN42616651783234 ALTF SPACES PRIVATE LIMITE ICICI BANK LIMITED ICIC0SF0002 AC ENDING 0999 REF BatchId:0009 ALTF SPACES PRIVATE LIMITED INR 667398,ALTF SPACES PRIVATE LIMITE,NEFT,IN42616651783234,RECEIPT,,667398.00,,Client Receipt,NO,2026-06-16,2026-06-16
2026-06-15,2026-06-15,DBS 858200061542,NEFTIN BOFAH26166000131 JONES LANG LASALLE PROPERT BANK OF AMERICA BOFA0CN6215 AC ENDING 4557 REF BatchId:0011 JONES LANG LASALLE PROPERTY INR 3489.8,JONES LANG LASALLE PROPERT,NEFT,BOFAH26166000131,RECEIPT,,3489.80,,Client Receipt,NO,2026-06-16,2026-06-16
2026-06-15,2026-06-15,DBS 858200061542,NEFTIN BOFAH26166000132 JONES LANG LASALLE PROPERT BANK OF AMERICA BOFA0CN6215 AC ENDING 4557 REF BatchId:0011 JONES LANG LASALLE PROPERTY INR 217585.95,JONES LANG LASALLE PROPERT,NEFT,BOFAH26166000132,RECEIPT,,217585.95,,Client Receipt,NO,2026-06-16,2026-06-16
2026-06-15,2026-06-15,DBS 858200061542,NEFTIN IN22616625740579 SAFARI RETREATS PRIVATE LI ICICI BANK LIMITED ICIC0099999 AC ENDING FTPL REF BatchId:0027 SAFARI RETREATS PRIVATE LIMITED INR 3939288,SAFARI RETREATS PRIVATE LI,NEFT,IN22616625740579,RECEIPT,,3939288.00,,Client Receipt,NO,2026-06-16,2026-06-16
2026-06-15,2026-06-15,DBS 858200061542,2157 BY IWCLG/002157/SHREE CHAKRADHAR SAH/BASSEIN CATHOLIC COOP. BANK LTD,2157 BY IWCLG/002157/SHREE CHAKRADHAR SAH/BASSEIN CATHOLIC C,CHQ,CHQ2157,PAYMENT,23755.00,,,Review Required,NO,2026-06-16,2026-06-16
2026-06-15,2026-06-15,DBS 858200061542,NEFTIN SCBLH16600689368 PRICE WATERHOUSE CO CHARTE STANDARD CHARTERED BANK SCBL00 AC ENDING 2091 REF BatchId:0031 PRICE WATERHOUSE CO CHARTERED ACCOU INR 2242.44,PRICE WATERHOUSE CO CHARTE,NEFT,SCBLH16600689368,RECEIPT,,2242.44,,Client Receipt,NO,2026-06-16,2026-06-16
2026-06-15,2026-06-15,DBS 858200061542,RTGS HDFC202606155070892015 E-CITY-REAL ESTATES PV HDFC BANK HDFC0009879 AC Ending 6988 REF- E-CITY-REAL ESTATES PVT LTD INR 891589,E-CITY-REAL ESTATES PV,RTGS,HDFC202606155070892015,RECEIPT,,891589.00,,Client Receipt,NO,2026-06-16,2026-06-16
